Median length	971.0
Size range:  959 to 972
Accession ID, Species, Sequence name          Length  Difference from median length  Percent of median length    Groups  Fragment of
MG912828.1, Chelonoidis duncanensis, ND1         971                              0                    100.00   set: 15  
MT017697.1, Chelonoidis duncanensis, ND1         971                              0                    100.00   set: 14  
NC_051477.1, Chelonoidis duncanensis, ND1        971                              0                    100.00   set: 14  
MT017700.1, Chelonoidis guntheri, ND1            971                              0                    100.00   set: 16  
NC_051480.1, Chelonoidis guntheri, ND1           971                              0                    100.00   set: 16  
OM719674.1, Chelonoidis guntheri, ND1            971                              0                    100.00   set: 17  
OM719675.1, Chelonoidis guntheri, ND1            971                              0                    100.00   set: 17  
OM719676.1, Chelonoidis guntheri, ND1            971                              0                    100.00   set: 16  
MT017696.1, Chelonoidis hoodensis, ND1           971                              0                    100.00   set: 18  
NC_051476.1, Chelonoidis hoodensis, ND1          971                              0                    100.00   set: 18  
OM719683.1, Chelonoidis hoodensis, ND1           971                              0                    100.00   set: 18  
OM719684.1, Chelonoidis hoodensis, ND1           971                              0                    100.00   set: 18  
OM719685.1, Chelonoidis hoodensis, ND1           971                              0                    100.00   set: 18  
MT017702.1, Chelonoidis microphyes, ND1          971                              0                    100.00   set: 17  
NC_051482.1, Chelonoidis microphyes, ND1         971                              0                    100.00   set: 17  
OM719708.1, Chelonoidis microphyes, ND1          971                              0                    100.00   set: 17  
OM719709.1, Chelonoidis microphyes, ND1          971                              0                    100.00   set: 17  
JN999704.2, Chelonoidis niger, ND1               971                              0                    100.00   set: 19  
MT017691.1, Chelonoidis niger, ND1               971                              0                    100.00   set: 20  
OM719687.1, Chelonoidis niger, ND1               971                              0                    100.00   set: 21  
OM719686.1, Chelonoidis phantasticus, ND1        971                              0                    100.00   set: 21  
OM719688.1, Chelonoidis phantasticus, ND1        971                              0                    100.00   set: 22  
MT017698.1, Chelonoidis porteri, ND1             971                              0                    100.00   set: 23  
NC_051478.1, Chelonoidis porteri, ND1            971                              0                    100.00   set: 23  
OM719680.1, Chelonoidis porteri, ND1             971                              0                    100.00   set: 19  
OM719681.1, Chelonoidis porteri, ND1             971                              0                    100.00   set: 23  
OM719682.1, Chelonoidis porteri, ND1             971                              0                    100.00   set: 23  
MT017701.1, Chelonoidis vandenburghi, ND1        971                              0                    100.00   set: 17  
NC_051481.1, Chelonoidis vandenburghi, ND1       971                              0                    100.00   set: 17  
OM719705.1, Chelonoidis vandenburghi, ND1        971                              0                    100.00   set: 17  
OM719706.1, Chelonoidis vandenburghi, ND1        971                              0                    100.00   set: 17  
LT599486.1, Chelonoidis vicina, ND1              971                              0                    100.00   set: 16  
MT017699.1, Chelonoidis vicina, ND1              971                              0                    100.00   set: 16  
NC_051479.1, Chelonoidis vicina, ND1             971                              0                    100.00   set: 16  
OM719689.1, Chelonoidis vicina, ND1              971                              0                    100.00   set: 24  
OM719690.1, Chelonoidis vicina, ND1              971                              0                    100.00   set: 16  
OM719691.1, Chelonoidis vicina, ND1              971                              0                    100.00   set: 16  
OQ581203.1, Chelonoidis vicina, ND1              971                              0                    100.00   set: 16  
NC_007694.1, Stigmochelys pardalis, ND1          972                              1                    100.10   set: 25  
