	cytb: Centrochelys sulcata, LT599487.1	CYTB: Chelonoidis abingdonii, MT017690.1	CYTB: Chelonoidis abingdonii, NC_051472.1	CYTB: Chelonoidis abingdonii, OM719673.1	CYTB: Chelonoidis abingdonii, OM719698.1	cytb: Chelonoidis alburyorum, LT599482.1	CYTB: Chelonoidis becki, MT017693.1	CYTB: Chelonoidis becki, NC_051473.1	CYTB: Chelonoidis becki, OM719692.1	CYTB: Chelonoidis becki, OM719693.1	cytb: Chelonoidis carbonarius, LT599483.1	CYTB: Chelonoidis carbonarius, MT017704.1	CYTB: Chelonoidis carbonarius, OQ789392.1	CYTB: Chelonoidis carbonarius, NC_080265.1	CYTB: Chelonoidis chathamensis, MT017692.1	CYTB: Chelonoidis chathamensis, OM719702.1	CYTB: Chelonoidis chathamensis, OM719703.1	CYTB: Chelonoidis chathamensis, OM719704.1	cytb: Chelonoidis chilensis, LT599484.1	CYTB: Chelonoidis darwini, MT017694.1	CYTB: Chelonoidis darwini, NC_051474.1	CYTB: Chelonoidis darwini, OM719670.1	CYTB: Chelonoidis darwini, OM719671.1	CYTB: Chelonoidis darwini, OM719672.1	cytb: Chelonoidis denticulatus, LT599485.1	CYTB: Chelonoidis denticulatus, MT017703.1	CYTB: Chelonoidis donfaustoi, MT017695.1	CYTB: Chelonoidis donfaustoi, NC_051475.1	CYTB: Chelonoidis duncanensis, MG912791.1	CYTB: Chelonoidis duncanensis, MG912792.1	CYTB: Chelonoidis duncanensis, MG912820.1	CYTB: Chelonoidis duncanensis, MG912828.1	CYTB: Chelonoidis duncanensis, MT017697.1	CYTB: Chelonoidis duncanensis, NC_051477.1	CYTB: Chelonoidis guntheri, MT017700.1	CYTB: Chelonoidis guntheri, NC_051480.1	CYTB: Chelonoidis guntheri, OM719674.1	CYTB: Chelonoidis guntheri, OM719675.1	CYTB: Chelonoidis guntheri, OM719676.1	CYTB: Chelonoidis hoodensis, MT017696.1	CYTB: Chelonoidis hoodensis, NC_051476.1	CYTB: Chelonoidis hoodensis, OM719683.1	CYTB: Chelonoidis hoodensis, OM719684.1	CYTB: Chelonoidis hoodensis, OM719685.1	CYTB: Chelonoidis microphyes, MT017702.1	CYTB: Chelonoidis microphyes, NC_051482.1	CYTB: Chelonoidis microphyes, OM719708.1	CYTB: Chelonoidis microphyes, OM719709.1	CYTB: Chelonoidis niger, JN999704.2	CYTB: Chelonoidis niger, MT017691.1	CYTB: Chelonoidis niger, OM719687.1	CYTB: Chelonoidis phantasticus, OM719686.1	CYTB: Chelonoidis phantasticus, OM719688.1	CYTB: Chelonoidis porteri, MT017698.1	CYTB: Chelonoidis porteri, NC_051478.1	CYTB: Chelonoidis porteri, OM719680.1	CYTB: Chelonoidis porteri, OM719681.1	CYTB: Chelonoidis porteri, OM719682.1	CYTB: Chelonoidis vandenburghi, MT017701.1	CYTB: Chelonoidis vandenburghi, NC_051481.1	CYTB: Chelonoidis vandenburghi, OM719705.1	CYTB: Chelonoidis vandenburghi, OM719706.1	cytb: Chelonoidis vicina, LT599486.1	CYTB: Chelonoidis vicina, MT017699.1	CYTB: Chelonoidis vicina, NC_051479.1	CYTB: Chelonoidis vicina, OM719689.1	CYTB: Chelonoidis vicina, OM719690.1	CYTB: Chelonoidis vicina, OM719691.1	CYTB: Chelonoidis vicina, OQ581203.1	CYTB: Stigmochelys pardalis, NC_007694.1
cytb: Chelonoidis carbonarius, LT599483.1	-	-	-	-	-	-	-	-	-	-	1,144	458	1,090	1,090	901	901	901	901	796	903	903	903	903	903	908	16	903	903	906	906	906	906	906	906	901	901	901	901	905	903	903	903	903	903	901	901	901	901	889	21	901	901	910	903	903	905	905	903	901	901	901	901	808	901	901	905	901	901	901	864
CYTB: Chelonoidis carbonarius, MT017704.1	-	-	-	-	-	-	-	-	-	-	-	655	491	491	331	331	331	331	250	331	331	331	331	331	335	123	331	331	334	334	334	334	334	334	331	331	329	329	331	333	333	333	333	333	329	329	329	329	319	129	331	331	336	333	333	331	333	333	329	329	329	329	236	331	331	329	329	329	329	328
CYTB: Chelonoidis carbonarius, OQ789392.1	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	891	891	891	891	787	897	897	897	897	897	913	18	893	893	892	892	892	892	892	892	887	887	887	887	891	893	893	893	893	893	887	887	887	887	879	15	887	887	894	893	893	891	891	893	887	887	887	887	796	887	887	887	887	887	887	876
CYTB: Chelonoidis carbonarius, NC_080265.1	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	891	891	891	891	787	897	897	897	897	897	913	18	893	893	892	892	892	892	892	892	887	887	887	887	891	893	893	893	893	893	887	887	887	887	879	15	887	887	894	893	893	891	891	893	887	887	887	887	796	887	887	887	887	887	887	876
CYTB: Chelonoidis chathamensis, MT017692.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,143	849	1,121	1,121	1,121	1,121	1,121	911	22	1,137	1,137	1,111	1,111	1,111	1,111	1,111	1,111	1,121	1,121	1,121	1,121	1,121	1,133	1,133	1,133	1,133	1,133	1,121	1,121	1,121	1,121	1,102	57	1,123	1,123	1,115	1,121	1,121	1,119	1,119	1,121	1,121	1,121	1,121	1,121	1,006	1,121	1,121	1,117	1,121	1,121	1,121	902
CYTB: Chelonoidis chathamensis, OM719702.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	849	1,121	1,121	1,121	1,121	1,121	911	22	1,137	1,137	1,111	1,111	1,111	1,111	1,111	1,111	1,121	1,121	1,121	1,121	1,121	1,133	1,133	1,133	1,133	1,133	1,121	1,121	1,121	1,121	1,102	57	1,123	1,123	1,115	1,121	1,121	1,119	1,119	1,121	1,121	1,121	1,121	1,121	1,006	1,121	1,121	1,117	1,121	1,121	1,121	902
CYTB: Chelonoidis chathamensis, OM719703.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	849	1,121	1,121	1,121	1,121	1,121	911	22	1,137	1,137	1,111	1,111	1,111	1,111	1,111	1,111	1,121	1,121	1,121	1,121	1,121	1,133	1,133	1,133	1,133	1,133	1,121	1,121	1,121	1,121	1,102	57	1,123	1,123	1,115	1,121	1,121	1,119	1,119	1,121	1,121	1,121	1,121	1,121	1,006	1,121	1,121	1,117	1,121	1,121	1,121	902
CYTB: Chelonoidis chathamensis, OM719704.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	849	1,121	1,121	1,121	1,121	1,121	911	22	1,137	1,137	1,111	1,111	1,111	1,111	1,111	1,111	1,121	1,121	1,121	1,121	1,121	1,133	1,133	1,133	1,133	1,133	1,121	1,121	1,121	1,121	1,102	57	1,123	1,123	1,115	1,121	1,121	1,119	1,119	1,121	1,121	1,121	1,121	1,121	1,006	1,121	1,121	1,117	1,121	1,121	1,121	902
cytb: Chelonoidis chilensis, LT599484.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,074	849	849	849	849	849	786	51	853	853	849	849	849	849	849	849	843	843	843	843	843	853	853	853	853	853	843	843	843	843	851	63	849	849	853	847	847	845	845	847	843	843	843	843	885	843	843	843	843	843	843	801
CYTB: Chelonoidis darwini, MT017694.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,143	1,143	917	22	1,123	1,123	1,101	1,101	1,101	1,101	1,101	1,101	1,111	1,111	1,111	1,111	1,111	1,123	1,123	1,123	1,123	1,123	1,111	1,111	1,111	1,111	1,092	51	1,113	1,113	1,105	1,111	1,111	1,109	1,109	1,111	1,111	1,111	1,111	1,111	994	1,111	1,111	1,107	1,111	1,111	1,111	900
CYTB: Chelonoidis darwini, NC_051474.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,143	917	22	1,123	1,123	1,101	1,101	1,101	1,101	1,101	1,101	1,111	1,111	1,111	1,111	1,111	1,123	1,123	1,123	1,123	1,123	1,111	1,111	1,111	1,111	1,092	51	1,113	1,113	1,105	1,111	1,111	1,109	1,109	1,111	1,111	1,111	1,111	1,111	994	1,111	1,111	1,107	1,111	1,111	1,111	900
CYTB: Chelonoidis darwini, OM719670.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	917	22	1,123	1,123	1,101	1,101	1,101	1,101	1,101	1,101	1,111	1,111	1,111	1,111	1,111	1,123	1,123	1,123	1,123	1,123	1,111	1,111	1,111	1,111	1,092	51	1,113	1,113	1,105	1,111	1,111	1,109	1,109	1,111	1,111	1,111	1,111	1,111	994	1,111	1,111	1,107	1,111	1,111	1,111	900
CYTB: Chelonoidis darwini, OM719671.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	917	22	1,123	1,123	1,101	1,101	1,101	1,101	1,101	1,101	1,111	1,111	1,111	1,111	1,111	1,123	1,123	1,123	1,123	1,123	1,111	1,111	1,111	1,111	1,092	51	1,113	1,113	1,105	1,111	1,111	1,109	1,109	1,111	1,111	1,111	1,111	1,111	994	1,111	1,111	1,107	1,111	1,111	1,111	900
CYTB: Chelonoidis darwini, OM719672.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	917	22	1,123	1,123	1,101	1,101	1,101	1,101	1,101	1,101	1,111	1,111	1,111	1,111	1,111	1,123	1,123	1,123	1,123	1,123	1,111	1,111	1,111	1,111	1,092	51	1,113	1,113	1,105	1,111	1,111	1,109	1,109	1,111	1,111	1,111	1,111	1,111	994	1,111	1,111	1,107	1,111	1,111	1,111	900
cytb: Chelonoidis denticulatus, LT599485.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	60	915	915	917	917	917	917	917	917	909	909	909	909	909	915	915	915	915	915	909	909	909	909	898	23	911	911	917	913	913	915	915	913	909	909	909	909	814	909	909	909	909	909	909	867
CYTB: Chelonoidis denticulatus, MT017703.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	497	22	22	16	16	16	16	16	16	18	18	20	20	20	22	22	22	22	22	20	20	20	20	25	410	20	20	18	22	22	20	20	22	20	20	20	20	61	18	18	20	20	20	20	16
CYTB: Chelonoidis donfaustoi, MT017695.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,117	1,117	1,117	1,117	1,117	1,117	1,123	1,123	1,123	1,123	1,123	1,135	1,135	1,135	1,135	1,135	1,123	1,123	1,123	1,123	1,104	57	1,125	1,125	1,117	1,123	1,123	1,121	1,121	1,123	1,123	1,123	1,123	1,123	1,006	1,123	1,123	1,119	1,123	1,123	1,123	904
CYTB: Chelonoidis donfaustoi, NC_051475.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,117	1,117	1,117	1,117	1,117	1,117	1,123	1,123	1,123	1,123	1,123	1,135	1,135	1,135	1,135	1,135	1,123	1,123	1,123	1,123	1,104	57	1,125	1,125	1,117	1,123	1,123	1,121	1,121	1,123	1,123	1,123	1,123	1,123	1,006	1,123	1,123	1,119	1,123	1,123	1,123	904
CYTB: Chelonoidis duncanensis, MG912791.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,143	1,143	1,143	1,117	1,117	1,117	1,117	1,117	1,109	1,109	1,109	1,109	1,109	1,117	1,117	1,117	1,117	1,098	53	1,119	1,119	1,111	1,113	1,113	1,115	1,115	1,113	1,117	1,117	1,117	1,117	1,000	1,117	1,117	1,113	1,117	1,117	1,117	896
CYTB: Chelonoidis duncanensis, MG912792.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,143	1,143	1,117	1,117	1,117	1,117	1,117	1,109	1,109	1,109	1,109	1,109	1,117	1,117	1,117	1,117	1,098	53	1,119	1,119	1,111	1,113	1,113	1,115	1,115	1,113	1,117	1,117	1,117	1,117	1,000	1,117	1,117	1,113	1,117	1,117	1,117	896
CYTB: Chelonoidis duncanensis, MG912820.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,143	1,117	1,117	1,117	1,117	1,117	1,109	1,109	1,109	1,109	1,109	1,117	1,117	1,117	1,117	1,098	53	1,119	1,119	1,111	1,113	1,113	1,115	1,115	1,113	1,117	1,117	1,117	1,117	1,000	1,117	1,117	1,113	1,117	1,117	1,117	896
CYTB: Chelonoidis duncanensis, MG912828.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,117	1,117	1,117	1,117	1,117	1,109	1,109	1,109	1,109	1,109	1,117	1,117	1,117	1,117	1,098	53	1,119	1,119	1,111	1,113	1,113	1,115	1,115	1,113	1,117	1,117	1,117	1,117	1,000	1,117	1,117	1,113	1,117	1,117	1,117	896
CYTB: Chelonoidis duncanensis, MT017697.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,117	1,117	1,117	1,117	1,117	1,109	1,109	1,109	1,109	1,109	1,117	1,117	1,117	1,117	1,098	53	1,119	1,119	1,111	1,113	1,113	1,115	1,115	1,113	1,117	1,117	1,117	1,117	1,000	1,117	1,117	1,113	1,117	1,117	1,117	896
CYTB: Chelonoidis duncanensis, NC_051477.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,117	1,117	1,117	1,117	1,117	1,109	1,109	1,109	1,109	1,109	1,117	1,117	1,117	1,117	1,098	53	1,119	1,119	1,111	1,113	1,113	1,115	1,115	1,113	1,117	1,117	1,117	1,117	1,000	1,117	1,117	1,113	1,117	1,117	1,117	896
CYTB: Chelonoidis guntheri, MT017700.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,139	1,139	1,139	1,119	1,119	1,119	1,119	1,119	1,139	1,139	1,139	1,139	1,116	61	1,137	1,137	1,129	1,131	1,131	1,133	1,133	1,131	1,139	1,139	1,139	1,139	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
CYTB: Chelonoidis guntheri, NC_051480.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,139	1,139	1,139	1,119	1,119	1,119	1,119	1,119	1,139	1,139	1,139	1,139	1,116	61	1,137	1,137	1,129	1,131	1,131	1,133	1,133	1,131	1,139	1,139	1,139	1,139	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
CYTB: Chelonoidis guntheri, OM719674.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,139	1,119	1,119	1,119	1,119	1,119	1,143	1,143	1,143	1,143	1,116	63	1,137	1,137	1,129	1,131	1,131	1,133	1,133	1,131	1,143	1,143	1,143	1,143	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
CYTB: Chelonoidis guntheri, OM719675.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,139	1,119	1,119	1,119	1,119	1,119	1,143	1,143	1,143	1,143	1,116	63	1,137	1,137	1,129	1,131	1,131	1,133	1,133	1,131	1,143	1,143	1,143	1,143	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
CYTB: Chelonoidis guntheri, OM719676.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,119	1,119	1,119	1,119	1,119	1,139	1,139	1,139	1,139	1,116	63	1,137	1,137	1,129	1,131	1,131	1,133	1,133	1,131	1,139	1,139	1,139	1,139	1,026	1,139	1,139	1,135	1,139	1,139	1,139	899
CYTB: Chelonoidis hoodensis, MT017696.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,143	1,143	1,119	1,119	1,119	1,119	1,104	57	1,121	1,121	1,117	1,123	1,123	1,121	1,121	1,123	1,119	1,119	1,119	1,119	1,002	1,119	1,119	1,115	1,119	1,119	1,119	904
CYTB: Chelonoidis hoodensis, NC_051476.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,143	1,119	1,119	1,119	1,119	1,104	57	1,121	1,121	1,117	1,123	1,123	1,121	1,121	1,123	1,119	1,119	1,119	1,119	1,002	1,119	1,119	1,115	1,119	1,119	1,119	904
CYTB: Chelonoidis hoodensis, OM719683.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,119	1,119	1,119	1,119	1,104	57	1,121	1,121	1,117	1,123	1,123	1,121	1,121	1,123	1,119	1,119	1,119	1,119	1,002	1,119	1,119	1,115	1,119	1,119	1,119	904
CYTB: Chelonoidis hoodensis, OM719684.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,119	1,119	1,119	1,119	1,104	57	1,121	1,121	1,117	1,123	1,123	1,121	1,121	1,123	1,119	1,119	1,119	1,119	1,002	1,119	1,119	1,115	1,119	1,119	1,119	904
CYTB: Chelonoidis hoodensis, OM719685.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,119	1,119	1,119	1,119	1,104	57	1,121	1,121	1,117	1,123	1,123	1,121	1,121	1,123	1,119	1,119	1,119	1,119	1,002	1,119	1,119	1,115	1,119	1,119	1,119	904
CYTB: Chelonoidis microphyes, MT017702.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1,144	1,143	1,143	1,143	1,116	63	1,137	1,137	1,129	1,131	1,131	1,133	1,133	1,131	1,143	1,143	1,143	1,143	1,022	1,139	1,139	1,135	1,139	1,139	1,139	895
